"Game_id","Team_id","Player_id","x_0","y_0","x_1","y_1","Throw_outcome","Possession_outcome"
"2021-06-05-BOS-PIT",219,8937,-23.39,78.42,-26.31,85.04,"Completion",1
"2021-06-05-BOS-PIT",219,9443,-26.31,85.04,-25.51,105.5,"Goal",1
"2021-06-05-BOS-PIT",219,9446,-17.86,82.93,1.6,77.33,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,-26.02,79.87,12.53,70.41,"Completion",1
"2021-06-05-BOS-PIT",219,9577,12.53,70.41,8.96,83.73,"Completion",1
"2021-06-05-BOS-PIT",219,8928,8.96,83.73,21.34,105.94,"Goal",1
"2021-06-05-BOS-PIT",219,8934,13.98,17.25,2.84,32.18,"Completion",1
"2021-06-05-BOS-PIT",219,8928,2.84,32.18,8.23,45.87,"Completion",1
"2021-06-05-BOS-PIT",219,9443,8.23,45.87,17.85,80.67,"Completion",1
"2021-06-05-BOS-PIT",219,8923,17.85,80.67,-14.5,111.91,"Goal",1
"2021-06-05-BOS-PIT",219,8934,6.84,15.14,2.98,34.51,"Completion",0
"2021-06-05-BOS-PIT",219,8928,2.98,34.51,21.93,49.29,"Completion",0
"2021-06-05-BOS-PIT",219,8923,21.93,49.29,3.78,49.36,"Completion",0
"2021-06-05-BOS-PIT",219,8934,3.78,49.36,7.57,61.52,"Completion",0
"2021-06-05-BOS-PIT",219,9577,7.57,61.52,0,110.02,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,0,21.04,-2.05,31.31,"Completion",1
"2021-06-05-BOS-PIT",219,8934,-2.05,31.31,-22.59,42.96,"Completion",1
"2021-06-05-BOS-PIT",219,9577,-22.59,42.96,-22.88,60.29,"Completion",1
"2021-06-05-BOS-PIT",219,8945,-22.88,60.29,-23.98,66.77,"Completion",1
"2021-06-05-BOS-PIT",219,8937,-23.98,66.77,-14.43,67.79,"Completion",1
"2021-06-05-BOS-PIT",219,8945,-14.43,67.79,-4.38,70.99,"Completion",1
"2021-06-05-BOS-PIT",219,9443,-4.38,70.99,10.2,78.27,"Completion",1
"2021-06-05-BOS-PIT",219,8928,10.2,78.27,-10.28,75.65,"Completion",1
"2021-06-05-BOS-PIT",219,8934,-10.28,75.65,-20.84,88.9,"Completion",1
"2021-06-05-BOS-PIT",219,8928,-20.84,88.9,-22.81,104.12,"Goal",1
"2021-06-05-BOS-PIT",219,8934,-8.75,30.94,-6.34,32.91,"Completion",0
"2021-06-05-BOS-PIT",219,8928,-6.34,32.91,-12.61,33.71,"Completion",0
"2021-06-05-BOS-PIT",219,8934,-12.61,33.71,-23.1,48.49,"Completion",0
"2021-06-05-BOS-PIT",219,8945,-23.1,48.49,-23.54,62.69,"Turnover",0
"2021-06-05-BOS-PIT",219,8928,24.18,20,24.26,43.9,"Completion",1
