"X_0","Y_0","X","Y","Score_Prob"
3,30,4,95,0.4
4,30,4,95,0.39
5,30,4,95,0.49
6,30,4,95,0.45
7,30,4,95,0.41
8,30,4,95,0.42
9,30,4,95,0.49
10,30,4,95,0.56
1,25,4,95,0.49
2,25,4,95,0.49
3,25,4,95,0.39
4,25,4,95,0.38
5,25,4,95,0.48
6,25,4,95,0.44
7,25,4,95,0.41
8,25,4,95,0.43
9,25,4,95,0.52
10,25,4,95,0.57
1,20,4,95,0.44
2,20,4,95,0.46
3,20,4,95,0.37
4,20,4,95,0.4
5,20,4,95,0.42
6,20,4,95,0.44
7,20,4,95,0.41
8,20,4,95,0.43
9,20,4,95,0.49
10,20,4,95,0.53
1,15,4,95,0.47
2,15,4,95,0.48
3,15,4,95,0.4
4,15,4,95,0.38
5,15,4,95,0.43
6,15,4,95,0.47
7,15,4,95,0.43
8,15,4,95,0.44
9,15,4,95,0.53
10,15,4,95,0.55
1,10,4,95,0.52
2,10,4,95,0.46
3,10,4,95,0.39
4,10,4,95,0.41
5,10,4,95,0.44
6,10,4,95,0.49
7,10,4,95,0.49
8,10,4,95,0.46
9,10,4,95,0.57
10,10,4,95,0.59
1,5,4,95,0.59
2,5,4,95,0.48
3,5,4,95,0.48
4,5,4,95,0.44
5,5,4,95,0.47
6,5,4,95,0.53
7,5,4,95,0.48
8,5,4,95,0.49
9,5,4,95,0.57
10,5,4,95,0.54
1,0,4,95,0.61
2,0,4,95,0.55
3,0,4,95,0.53
4,0,4,95,0.47
5,0,4,95,0.49
6,0,4,95,0.51
7,0,4,95,0.5
8,0,4,95,0.49
9,0,4,95,0.53
10,0,4,95,0.56
1,-5,4,95,NA
2,-5,4,95,NA
3,-5,4,95,NA
4,-5,4,95,NA
5,-5,4,95,NA
6,-5,4,95,NA
7,-5,4,95,NA
8,-5,4,95,NA
9,-5,4,95,NA
10,-5,4,95,NA
1,-10,4,95,NA
2,-10,4,95,NA
3,-10,4,95,NA
4,-10,4,95,NA
5,-10,4,95,NA
6,-10,4,95,NA
7,-10,4,95,NA
8,-10,4,95,NA
9,-10,4,95,NA
10,-10,4,95,NA
1,-15,4,95,NA
2,-15,4,95,NA
3,-15,4,95,NA
4,-15,4,95,NA
5,-15,4,95,NA
6,-15,4,95,NA
7,-15,4,95,NA
8,-15,4,95,NA
9,-15,4,95,NA
10,-15,4,95,NA
1,-20,4,95,NA
2,-20,4,95,NA
3,-20,4,95,NA
4,-20,4,95,NA
5,-20,4,95,NA
6,-20,4,95,NA
7,-20,4,95,NA
8,-20,4,95,NA
9,-20,4,95,NA
10,-20,4,95,NA
1,95,5,95,0.48
2,95,5,95,0.42
3,95,5,95,0.38
4,95,5,95,0.42
5,95,5,95,0.42
6,95,5,95,0.35
7,95,5,95,0.45
8,95,5,95,0.47
9,95,5,95,0.45
10,95,5,95,0.45
1,90,5,95,0.46
2,90,5,95,0.43
3,90,5,95,0.38
4,90,5,95,0.4
5,90,5,95,0.42
6,90,5,95,0.31
7,90,5,95,0.43
8,90,5,95,0.46
9,90,5,95,0.43
10,90,5,95,0.43
1,85,5,95,0.49
2,85,5,95,0.36
3,85,5,95,0.38
4,85,5,95,0.4
5,85,5,95,0.45
6,85,5,95,0.29
7,85,5,95,0.44
8,85,5,95,0.44
9,85,5,95,0.41
10,85,5,95,0.44
1,80,5,95,0.47
2,80,5,95,0.38
3,80,5,95,0.39
4,80,5,95,0.45
5,80,5,95,0.45
6,80,5,95,0.34
7,80,5,95,0.36
8,80,5,95,0.4
9,80,5,95,0.45
10,80,5,95,0.41
1,75,5,95,0.45
2,75,5,95,0.42
3,75,5,95,0.43
4,75,5,95,0.44
5,75,5,95,0.41
6,75,5,95,0.37
7,75,5,95,0.38
8,75,5,95,0.44
9,75,5,95,0.48
10,75,5,95,0.43
1,70,5,95,0.45
2,70,5,95,0.4
3,70,5,95,0.44
4,70,5,95,0.43
5,70,5,95,0.4
6,70,5,95,0.34
7,70,5,95,0.39
8,70,5,95,0.41
9,70,5,95,0.45
10,70,5,95,0.43
1,65,5,95,0.44
2,65,5,95,0.41
3,65,5,95,0.44
4,65,5,95,0.44
5,65,5,95,0.44
6,65,5,95,0.38
7,65,5,95,0.38
8,65,5,95,0.37
9,65,5,95,0.42
10,65,5,95,0.44
1,60,5,95,0.45
2,60,5,95,0.36
3,60,5,95,0.42
4,60,5,95,0.46
5,60,5,95,0.45
6,60,5,95,0.38
7,60,5,95,0.4
8,60,5,95,0.38
9,60,5,95,0.44
10,60,5,95,0.47
1,55,5,95,0.48
2,55,5,95,0.45
3,55,5,95,0.45
4,55,5,95,0.43
5,55,5,95,0.44
6,55,5,95,0.37
7,55,5,95,0.41
8,55,5,95,0.4
9,55,5,95,0.48
10,55,5,95,0.46
1,50,5,95,0.5
2,50,5,95,0.46
3,50,5,95,0.46
4,50,5,95,0.44
5,50,5,95,0.38
6,50,5,95,0.41
7,50,5,95,0.37
8,50,5,95,0.39
9,50,5,95,0.48
10,50,5,95,0.47
1,45,5,95,0.5
2,45,5,95,0.48
3,45,5,95,0.47
4,45,5,95,0.42
5,45,5,95,0.45
6,45,5,95,0.45
7,45,5,95,0.34
8,45,5,95,0.42
9,45,5,95,0.47
10,45,5,95,0.49
1,40,5,95,0.52
2,40,5,95,0.5
3,40,5,95,0.47
4,40,5,95,0.41
5,40,5,95,0.48
6,40,5,95,0.47
7,40,5,95,0.35
8,40,5,95,0.43
9,40,5,95,0.45
10,40,5,95,0.54
1,35,5,95,0.52
2,35,5,95,0.44
3,35,5,95,0.49
4,35,5,95,0.4
5,35,5,95,0.48
6,35,5,95,0.46
7,35,5,95,0.35
8,35,5,95,0.44
9,35,5,95,0.49
10,35,5,95,0.55
1,30,5,95,0.47
2,30,5,95,0.49
3,30,5,95,0.46
4,30,5,95,0.4
5,30,5,95,0.48
6,30,5,95,0.45
7,30,5,95,0.36
8,30,5,95,0.44
9,30,5,95,0.5
10,30,5,95,0.52
1,25,5,95,0.47
2,25,5,95,0.47
3,25,5,95,0.42
4,25,5,95,0.39
5,25,5,95,0.47
6,25,5,95,0.45
7,25,5,95,0.34
8,25,5,95,0.44
